07:16:09.330519 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:23.609119 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.621723 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.621745 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.635006 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.648614 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.648636 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.661841 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.675302 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.675324 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.691518 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.705165 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.705252 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.715302 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.728611 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.728655 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.741932 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.755186 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.755267 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.755950 ARP, Request who-has 10.0.0.127 tell 5ed92da5bdac, length 28
07:16:23.768805 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.782715 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.782739 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.795590 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.808661 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.808685 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.821957 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.835409 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.835434 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.848653 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.862113 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.862169 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.875483 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.892819 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.892897 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.902649 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.915737 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.915766 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.928967 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.942539 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.942599 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.959415 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.969069 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.969130 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.982439 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.995655 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.995690 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:24.008997 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:24.022352 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:24.022377 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:24.035887 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:24.052381 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:24.052406 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:24.062611 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:24.075846 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:24.075901 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:24.089701 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
